time,title
1037,苏轼出生于眉州眉山
1057,进士及第
1061~1064,任凤翔府签判
1071~1074,任杭州通判
1074~1076,任密州知州
1077~1079,任徐州知州
1079,移知湖州并遭乌台诗案
1080~1084,谪居黄州
1085,短暂任登州知州后还朝
1089~1091,再任杭州
1091~1093,颍州、扬州、定州等地任职
1094~1097,贬居惠州
1097~1100,贬居儋州
1100,遇赦北归
1101,卒于常州
