time,title
1067~1085,宋神宗在位
1069~1085,王安石变法及其延续
1085~1100,宋哲宗在位
1086~1094,元祐更化
1094~1098,绍圣时期政局转向
1100~1126,宋徽宗在位
1127,靖康之变与北宋灭亡
