# time,title
# 战争与国际秩序变化的背景层；部分近现代条目使用日期级时间。
-499~-449,希波战争
-431~-404,伯罗奔尼撒战争
-264~-146,布匿战争
1095~1291,十字军东征
1206~1368,蒙古扩张
1337~1453,百年战争
1618-05-23~1648-10-24,三十年战争
1644~1662,明清鼎革战争
1756-05-17~1763-02-15,七年战争
1775-04-19~1783-09-03,美国独立战争
1792-04-20~1815-11-20,法国革命战争与拿破仑战争
1850~1864,太平天国战争
1914-07-28~1918-11-11,第一次世界大战
1937-07-07~1945-09-02,中国抗日战争
1939-09-01~1945-09-02,第二次世界大战
1947-03-12~1991-12-26,冷战
1950-06-25~1953-07-27,朝鲜战争
1955-11-01~1975-04-30,越南战争

