# time,title
# 日本史常用分期，适合东亚横向比较。
-14000~-300,绳文时代
-300~250,弥生时代
250~538,古坟时代
538~710,飞鸟时代
710~794,奈良时代
794~1185,平安时代
1185~1333,镰仓时代
1336~1573,室町时代
1467~1603,战国时代
1603~1868,江户时代
1868~1912,明治时代
1912~1926,大正时代
1926~1989,昭和时代
1989~2019,平成时代
2019~,令和时代

