# time,title
# 参照 AP World History: Modern 的大单元做成的全球史分期背景。
1200~1450,全球拼图：区域国家与文化体系
1200~1450,交换网络：丝绸之路、印度洋、撒哈拉贸易
1450~1750,陆上帝国扩张
1450~1750,跨洋连接与大航海
1750~1900,政治革命与民族主义
1750~1900,工业化及其后果
1900~1945,全球冲突时代
1945~1991,冷战与去殖民化
1991~,全球化时代

